Date,Circulating Supply
"Feb 8, 2024","14,400"
"Feb 9, 2024","28,798"
"Feb 10, 2024","43,193"
"Feb 11, 2024","57,585"
"Feb 12, 2024","71,975"
"Feb 13, 2024","86,363"
"Feb 14, 2024","1,00,748"
"Feb 15, 2024","1,15,131"
"Feb 16, 2024","1,29,511"
"Feb 17, 2024","1,43,889"
"Feb 18, 2024","1,58,264"
"Feb 19, 2024","1,72,637"
"Feb 20, 2024","1,87,007"
"Feb 21, 2024","2,01,375"
"Feb 22, 2024","2,15,741"
"Feb 23, 2024","2,30,104"
"Feb 24, 2024","2,44,464"
"Feb 25, 2024","2,58,822"
"Feb 26, 2024","2,73,178"
"Feb 27, 2024","2,87,531"
"Feb 28, 2024","3,01,882"
"Feb 29, 2024","3,16,230"
"Mar 1, 2024","3,30,575"
"Mar 2, 2024","3,44,919"
"Mar 3, 2024","3,59,259"
"Mar 4, 2024","3,73,598"
"Mar 5, 2024","3,87,933"
"Mar 6, 2024","4,02,267"
"Mar 7, 2024","4,16,598"
"Mar 8, 2024","4,30,926"
"Mar 9, 2024","4,45,252"
"Mar 10, 2024","4,59,575"
"Mar 11, 2024","4,73,896"
"Mar 12, 2024","4,88,215"
"Mar 13, 2024","5,02,531"
"Mar 14, 2024","5,16,845"
"Mar 15, 2024","5,31,156"
"Mar 16, 2024","5,45,464"
"Mar 17, 2024","5,59,770"
"Mar 18, 2024","5,74,074"
"Mar 19, 2024","5,88,375"
"Mar 20, 2024","6,02,674"
"Mar 21, 2024","6,16,970"
"Mar 22, 2024","6,31,264"
"Mar 23, 2024","6,45,556"
"Mar 24, 2024","6,59,845"
"Mar 25, 2024","6,74,131"
"Mar 26, 2024","6,88,415"
"Mar 27, 2024","7,02,696"
"Mar 28, 2024","7,16,975"
"Mar 29, 2024","7,31,252"
"Mar 30, 2024","7,45,526"
"Mar 31, 2024","7,59,798"
"Apr 1, 2024","7,74,067"
"Apr 2, 2024","7,88,334"
"Apr 3, 2024","8,02,598"
"Apr 4, 2024","8,16,859"
"Apr 5, 2024","8,31,119"
"Apr 6, 2024","8,45,376"
"Apr 7, 2024","8,59,630"
"Apr 8, 2024","8,73,882"
"Apr 9, 2024","8,88,131"
"Apr 10, 2024","9,02,378"
"Apr 11, 2024","9,16,623"
"Apr 12, 2024","9,30,864"
"Apr 13, 2024","9,45,104"
"Apr 14, 2024","9,59,341"
"Apr 15, 2024","9,73,576"
"Apr 16, 2024","9,87,808"
"Apr 17, 2024","10,02,037"
"Apr 18, 2024","10,16,265"
"Apr 19, 2024","10,30,489"
"Apr 20, 2024","10,44,711"
"Apr 21, 2024","10,58,931"
"Apr 22, 2024","10,73,149"
"Apr 23, 2024","10,87,363"
"Apr 24, 2024","11,01,576"
"Apr 25, 2024","11,15,786"
"Apr 26, 2024","11,29,993"
"Apr 27, 2024","11,44,198"
"Apr 28, 2024","11,58,400"
"Apr 29, 2024","11,72,600"
"Apr 30, 2024","11,86,798"
"May 1, 2024","12,00,993"
"May 2, 2024","12,15,186"
"May 3, 2024","12,29,376"
"May 4, 2024","12,43,563"
"May 5, 2024","12,57,749"
"May 6, 2024","12,71,931"
"May 7, 2024","12,86,112"
"May 8, 2024","13,00,289"
"May 9, 2024","13,14,465"
"May 10, 2024","13,28,638"
"May 11, 2024","13,42,808"
"May 12, 2024","13,56,976"
"May 13, 2024","13,71,141"
"May 14, 2024","13,85,304"
"May 15, 2024","13,99,465"
"May 16, 2024","14,13,623"
"May 17, 2024","14,27,778"
"May 18, 2024","14,41,932"
"May 19, 2024","14,56,082"
"May 20, 2024","14,70,230"
"May 21, 2024","14,84,376"
"May 22, 2024","14,98,519"
"May 23, 2024","15,12,660"
"May 24, 2024","15,26,798"
"May 25, 2024","15,40,934"
"May 26, 2024","15,55,067"
"May 27, 2024","15,69,198"
"May 28, 2024","15,83,327"
"May 29, 2024","15,97,453"
"May 30, 2024","16,11,576"
"May 31, 2024","16,25,697"
"Jun 1, 2024","16,39,816"
"Jun 2, 2024","16,53,932"
"Jun 3, 2024","16,68,045"
"Jun 4, 2024","16,82,157"
"Jun 5, 2024","16,96,265"
"Jun 6, 2024","17,10,371"
"Jun 7, 2024","17,24,475"
"Jun 8, 2024","17,38,576"
"Jun 9, 2024","17,52,675"
"Jun 10, 2024","17,66,771"
"Jun 11, 2024","17,80,865"
"Jun 12, 2024","17,94,957"
"Jun 13, 2024","18,09,046"
"Jun 14, 2024","18,23,132"
"Jun 15, 2024","18,37,216"
"Jun 16, 2024","18,51,297"
"Jun 17, 2024","18,65,377"
"Jun 18, 2024","18,79,453"
"Jun 19, 2024","18,93,527"
"Jun 20, 2024","19,07,599"
"Jun 21, 2024","19,21,668"
"Jun 22, 2024","19,35,735"
"Jun 23, 2024","19,49,799"
"Jun 24, 2024","19,63,861"
"Jun 25, 2024","19,77,920"
"Jun 26, 2024","19,91,977"
"Jun 27, 2024","20,06,031"
"Jun 28, 2024","20,20,083"
"Jun 29, 2024","20,34,132"
"Jun 30, 2024","20,48,179"
"Jul 1, 2024","20,62,224"
"Jul 2, 2024","20,76,266"
"Jul 3, 2024","20,90,305"
"Jul 4, 2024","21,04,342"
"Jul 5, 2024","21,18,377"
"Jul 6, 2024","21,32,409"
"Jul 7, 2024","21,46,439"
"Jul 8, 2024","21,60,466"
"Jul 9, 2024","21,74,491"
"Jul 10, 2024","21,88,513"
"Jul 11, 2024","22,02,533"
"Jul 12, 2024","22,16,550"
"Jul 13, 2024","22,30,565"
"Jul 14, 2024","22,44,577"
"Jul 15, 2024","22,58,587"
"Jul 16, 2024","22,72,594"
"Jul 17, 2024","22,86,599"
"Jul 18, 2024","23,00,602"
"Jul 19, 2024","23,14,602"
"Jul 20, 2024","23,28,599"
"Jul 21, 2024","23,42,595"
"Jul 22, 2024","23,56,587"
"Jul 23, 2024","23,70,577"
"Jul 24, 2024","23,84,565"
"Jul 25, 2024","23,98,550"
"Jul 26, 2024","24,12,533"
"Jul 27, 2024","24,26,513"
"Jul 28, 2024","24,40,491"
"Jul 29, 2024","24,54,466"
"Jul 30, 2024","24,68,439"
"Jul 31, 2024","24,82,410"
"Aug 1, 2024","24,96,377"
"Aug 2, 2024","25,10,343"
"Aug 3, 2024","25,24,306"
"Aug 4, 2024","25,38,266"
"Aug 5, 2024","25,52,224"
"Aug 6, 2024","25,66,180"
"Aug 7, 2024","25,80,133"
"Aug 8, 2024","25,94,084"
"Aug 9, 2024","26,08,032"
"Aug 10, 2024","26,21,978"
"Aug 11, 2024","26,35,921"
"Aug 12, 2024","26,49,862"
"Aug 13, 2024","26,63,800"
"Aug 14, 2024","26,77,736"
"Aug 15, 2024","26,91,669"
"Aug 16, 2024","27,05,600"
"Aug 17, 2024","27,19,529"
"Aug 18, 2024","27,33,454"
"Aug 19, 2024","27,47,378"
"Aug 20, 2024","27,61,299"
"Aug 21, 2024","27,75,218"
"Aug 22, 2024","27,89,134"
"Aug 23, 2024","28,03,047"
"Aug 24, 2024","28,16,958"
"Aug 25, 2024","28,30,867"
"Aug 26, 2024","28,44,773"
"Aug 27, 2024","28,58,677"
"Aug 28, 2024","28,72,578"
"Aug 29, 2024","28,86,477"
"Aug 30, 2024","29,00,373"
"Aug 31, 2024","29,14,267"
"Sep 1, 2024","29,28,159"
"Sep 2, 2024","29,42,047"
"Sep 3, 2024","29,55,934"
"Sep 4, 2024","29,69,818"
"Sep 5, 2024","29,83,699"
"Sep 6, 2024","29,97,578"
"Sep 7, 2024","30,11,455"
"Sep 8, 2024","30,25,329"
"Sep 9, 2024","30,39,201"
"Sep 10, 2024","30,53,070"
"Sep 11, 2024","30,66,937"
"Sep 12, 2024","30,80,801"
"Sep 13, 2024","30,94,663"
"Sep 14, 2024","31,08,522"
"Sep 15, 2024","31,22,379"
"Sep 16, 2024","31,36,233"
"Sep 17, 2024","31,50,085"
"Sep 18, 2024","31,63,934"
"Sep 19, 2024","31,77,781"
"Sep 20, 2024","31,91,626"
"Sep 21, 2024","32,05,468"
"Sep 22, 2024","32,19,307"
"Sep 23, 2024","32,33,144"
"Sep 24, 2024","32,46,979"
"Sep 25, 2024","32,60,811"
"Sep 26, 2024","32,74,641"
"Sep 27, 2024","32,88,468"
"Sep 28, 2024","33,02,293"
"Sep 29, 2024","33,16,115"
"Sep 30, 2024","33,29,935"
"Oct 1, 2024","33,43,752"
"Oct 2, 2024","33,57,567"
"Oct 3, 2024","33,71,379"
"Oct 4, 2024","33,85,189"
"Oct 5, 2024","33,98,997"
"Oct 6, 2024","34,12,802"
"Oct 7, 2024","34,26,604"
"Oct 8, 2024","34,40,404"
"Oct 9, 2024","34,54,202"
"Oct 10, 2024","34,67,997"
"Oct 11, 2024","34,81,789"
"Oct 12, 2024","34,95,580"
"Oct 13, 2024","35,09,367"
"Oct 14, 2024","35,23,153"
"Oct 15, 2024","35,36,935"
"Oct 16, 2024","35,50,716"
"Oct 17, 2024","35,64,493"
"Oct 18, 2024","35,78,269"
"Oct 19, 2024","35,92,042"
"Oct 20, 2024","36,05,812"
"Oct 21, 2024","36,19,580"
"Oct 22, 2024","36,33,345"
"Oct 23, 2024","36,47,108"
"Oct 24, 2024","36,60,869"
"Oct 25, 2024","36,74,627"
"Oct 26, 2024","36,88,383"
"Oct 27, 2024","37,02,136"
"Oct 28, 2024","37,15,886"
"Oct 29, 2024","37,29,635"
"Oct 30, 2024","37,43,380"
"Oct 31, 2024","37,57,124"
"Nov 1, 2024","37,70,864"
"Nov 2, 2024","37,84,603"
"Nov 3, 2024","37,98,338"
"Nov 4, 2024","38,12,072"
"Nov 5, 2024","38,25,803"
"Nov 6, 2024","38,39,531"
"Nov 7, 2024","38,53,257"
"Nov 8, 2024","38,66,981"
"Nov 9, 2024","38,80,702"
"Nov 10, 2024","38,94,420"
"Nov 11, 2024","39,08,136"
"Nov 12, 2024","39,21,850"
"Nov 13, 2024","39,35,561"
"Nov 14, 2024","39,49,270"
"Nov 15, 2024","39,62,976"
"Nov 16, 2024","39,76,680"
"Nov 17, 2024","39,90,381"
"Nov 18, 2024","40,04,080"
"Nov 19, 2024","40,17,776"
"Nov 20, 2024","40,31,470"
"Nov 21, 2024","40,45,161"
"Nov 22, 2024","40,58,850"
"Nov 23, 2024","40,72,537"
"Nov 24, 2024","40,86,221"
"Nov 25, 2024","40,99,902"
"Nov 26, 2024","41,13,581"
"Nov 27, 2024","41,27,258"
"Nov 28, 2024","41,40,932"
"Nov 29, 2024","41,54,604"
"Nov 30, 2024","41,68,273"
"Dec 1, 2024","41,81,940"
"Dec 2, 2024","41,95,604"
"Dec 3, 2024","42,09,266"
"Dec 4, 2024","42,22,925"
"Dec 5, 2024","42,36,582"
"Dec 6, 2024","42,50,236"
"Dec 7, 2024","42,63,888"
"Dec 8, 2024","42,77,537"
"Dec 9, 2024","42,91,184"
"Dec 10, 2024","43,04,829"
"Dec 11, 2024","43,18,471"
"Dec 12, 2024","43,32,110"
"Dec 13, 2024","43,45,747"
"Dec 14, 2024","43,59,382"
"Dec 15, 2024","43,73,014"
"Dec 16, 2024","43,86,644"
"Dec 17, 2024","44,00,271"
"Dec 18, 2024","44,13,896"
"Dec 19, 2024","44,27,518"
"Dec 20, 2024","44,41,138"
"Dec 21, 2024","44,54,755"
"Dec 22, 2024","44,68,370"
"Dec 23, 2024","44,81,983"
"Dec 24, 2024","44,95,592"
"Dec 25, 2024","45,09,200"
"Dec 26, 2024","45,22,805"
"Dec 27, 2024","45,36,407"
"Dec 28, 2024","45,50,007"
"Dec 29, 2024","45,63,605"
"Dec 30, 2024","45,77,200"
"Dec 31, 2024","45,90,793"
"Jan 1, 2025","46,04,383"
"Jan 2, 2025","46,17,971"
"Jan 3, 2025","46,31,556"
"Jan 4, 2025","46,45,139"
"Jan 5, 2025","46,58,719"
"Jan 6, 2025","46,72,297"
"Jan 7, 2025","46,85,872"
"Jan 8, 2025","46,99,445"
"Jan 9, 2025","47,13,015"
"Jan 10, 2025","47,26,583"
"Jan 11, 2025","47,40,149"
"Jan 12, 2025","47,53,712"
"Jan 13, 2025","47,67,272"
"Jan 14, 2025","47,80,830"
"Jan 15, 2025","47,94,386"
"Jan 16, 2025","48,07,939"
"Jan 17, 2025","48,21,490"
"Jan 18, 2025","48,35,038"
"Jan 19, 2025","48,48,584"
"Jan 20, 2025","48,62,127"
"Jan 21, 2025","48,75,668"
"Jan 22, 2025","48,89,206"
"Jan 23, 2025","49,02,742"
"Jan 24, 2025","49,16,275"
"Jan 25, 2025","49,29,806"
"Jan 26, 2025","49,43,335"
"Jan 27, 2025","49,56,861"
"Jan 28, 2025","49,70,384"
"Jan 29, 2025","49,83,905"
"Jan 30, 2025","49,97,424"
"Jan 31, 2025","50,10,940"
"Feb 1, 2025","50,24,454"
"Feb 2, 2025","50,37,965"
"Feb 3, 2025","50,51,473"
"Feb 4, 2025","50,64,980"
"Feb 5, 2025","50,78,483"
"Feb 6, 2025","50,91,985"
"Feb 7, 2025","51,05,483"
"Feb 8, 2025","51,18,980"
"Feb 9, 2025","51,32,474"
"Feb 10, 2025","51,45,965"
"Feb 11, 2025","51,59,454"
"Feb 12, 2025","51,72,941"
"Feb 13, 2025","51,86,425"
"Feb 14, 2025","51,99,906"
"Feb 15, 2025","52,13,385"
"Feb 16, 2025","52,26,862"
"Feb 17, 2025","52,40,336"
"Feb 18, 2025","52,53,808"
"Feb 19, 2025","52,67,277"
"Feb 20, 2025","52,80,743"
"Feb 21, 2025","52,94,208"
"Feb 22, 2025","53,07,669"
"Feb 23, 2025","53,21,129"
"Feb 24, 2025","53,34,586"
"Feb 25, 2025","53,48,040"
"Feb 26, 2025","53,61,492"
"Feb 27, 2025","53,74,941"
"Feb 28, 2025","53,88,388"
"Mar 1, 2025","54,01,833"
"Mar 2, 2025","54,15,275"
"Mar 3, 2025","54,28,714"
"Mar 4, 2025","54,42,151"
"Mar 5, 2025","54,55,586"
"Mar 6, 2025","54,69,018"
"Mar 7, 2025","54,82,448"
"Mar 8, 2025","54,95,875"
"Mar 9, 2025","55,09,300"
"Mar 10, 2025","55,22,722"
"Mar 11, 2025","55,36,142"
"Mar 12, 2025","55,49,559"
"Mar 13, 2025","55,62,974"
"Mar 14, 2025","55,76,387"
"Mar 15, 2025","55,89,797"
"Mar 16, 2025","56,03,204"
"Mar 17, 2025","56,16,609"
"Mar 18, 2025","56,30,012"
"Mar 19, 2025","56,43,412"
"Mar 20, 2025","56,56,809"
"Mar 21, 2025","56,70,204"
"Mar 22, 2025","56,83,597"
"Mar 23, 2025","56,96,987"
"Mar 24, 2025","57,10,375"
"Mar 25, 2025","57,23,760"
"Mar 26, 2025","57,37,143"
"Mar 27, 2025","57,50,523"
"Mar 28, 2025","57,63,901"
"Mar 29, 2025","57,77,276"
"Mar 30, 2025","57,90,649"
"Mar 31, 2025","58,04,020"
"Apr 1, 2025","58,17,388"
"Apr 2, 2025","58,30,753"
"Apr 3, 2025","58,44,116"
"Apr 4, 2025","58,57,477"
"Apr 5, 2025","58,70,835"
"Apr 6, 2025","58,84,190"
"Apr 7, 2025","58,97,544"
"Apr 8, 2025","59,10,894"
"Apr 9, 2025","59,24,242"
"Apr 10, 2025","59,37,588"
"Apr 11, 2025","59,50,931"
"Apr 12, 2025","59,64,272"
"Apr 13, 2025","59,77,611"
"Apr 14, 2025","59,90,946"
"Apr 15, 2025","60,04,280"
"Apr 16, 2025","60,17,611"
"Apr 17, 2025","60,30,939"
"Apr 18, 2025","60,44,265"
"Apr 19, 2025","60,57,589"
"Apr 20, 2025","60,70,910"
"Apr 21, 2025","60,84,228"
"Apr 22, 2025","60,97,544"
"Apr 23, 2025","61,10,858"
"Apr 24, 2025","61,24,169"
"Apr 25, 2025","61,37,478"
"Apr 26, 2025","61,50,784"
"Apr 27, 2025","61,64,088"
"Apr 28, 2025","61,77,389"
"Apr 29, 2025","61,90,688"
"Apr 30, 2025","62,03,984"
"May 1, 2025","62,17,278"
"May 2, 2025","62,30,570"
"May 3, 2025","62,43,859"
"May 4, 2025","62,57,145"
"May 5, 2025","62,70,429"
"May 6, 2025","62,83,711"
"May 7, 2025","62,96,990"
"May 8, 2025","63,10,266"
"May 9, 2025","63,23,541"
"May 10, 2025","63,36,812"
"May 11, 2025","63,50,081"
"May 12, 2025","63,63,348"
"May 13, 2025","63,76,612"
"May 14, 2025","63,89,874"
"May 15, 2025","64,03,134"
"May 16, 2025","64,16,390"
"May 17, 2025","64,29,645"
"May 18, 2025","64,42,897"
"May 19, 2025","64,56,146"
"May 20, 2025","64,69,393"
"May 21, 2025","64,82,638"
"May 22, 2025","64,95,880"
"May 23, 2025","65,09,119"
"May 24, 2025","65,22,356"
"May 25, 2025","65,35,591"
"May 26, 2025","65,48,823"
"May 27, 2025","65,62,053"
"May 28, 2025","65,75,280"
"May 29, 2025","65,88,505"
"May 30, 2025","66,01,727"
"May 31, 2025","66,14,947"
"Jun 1, 2025","66,28,164"
"Jun 2, 2025","66,41,379"
"Jun 3, 2025","66,54,592"
"Jun 4, 2025","66,67,802"
"Jun 5, 2025","66,81,009"
"Jun 6, 2025","66,94,214"
"Jun 7, 2025","67,07,417"
"Jun 8, 2025","67,20,617"
"Jun 9, 2025","67,33,814"
"Jun 10, 2025","67,47,009"
"Jun 11, 2025","67,60,202"
"Jun 12, 2025","67,73,392"
"Jun 13, 2025","67,86,580"
"Jun 14, 2025","67,99,765"
"Jun 15, 2025","68,12,948"
"Jun 16, 2025","68,26,128"
"Jun 17, 2025","68,39,306"
"Jun 18, 2025","68,52,482"
"Jun 19, 2025","68,65,654"
"Jun 20, 2025","68,78,825"
"Jun 21, 2025","68,91,993"
"Jun 22, 2025","69,05,158"
"Jun 23, 2025","69,18,321"
"Jun 24, 2025","69,31,482"
"Jun 25, 2025","69,44,640"
"Jun 26, 2025","69,57,796"
"Jun 27, 2025","69,70,949"
"Jun 28, 2025","69,84,100"
"Jun 29, 2025","69,97,248"
"Jun 30, 2025","70,10,394"
"Jul 1, 2025","70,23,537"
"Jul 2, 2025","70,36,678"
"Jul 3, 2025","70,49,816"
"Jul 4, 2025","70,62,952"
"Jul 5, 2025","70,76,085"
"Jul 6, 2025","70,89,216"
"Jul 7, 2025","71,02,345"
"Jul 8, 2025","71,15,471"
"Jul 9, 2025","71,28,594"
"Jul 10, 2025","71,41,715"
"Jul 11, 2025","71,54,834"
"Jul 12, 2025","71,67,950"
"Jul 13, 2025","71,81,064"
"Jul 14, 2025","71,94,175"
"Jul 15, 2025","72,07,284"
"Jul 16, 2025","72,20,390"
"Jul 17, 2025","72,33,494"
"Jul 18, 2025","72,46,595"
"Jul 19, 2025","72,59,694"
"Jul 20, 2025","72,72,790"
"Jul 21, 2025","72,85,884"
"Jul 22, 2025","72,98,975"
"Jul 23, 2025","73,12,064"
"Jul 24, 2025","73,25,151"
"Jul 25, 2025","73,38,235"
"Jul 26, 2025","73,51,316"
"Jul 27, 2025","73,64,396"
"Jul 28, 2025","73,77,472"
"Jul 29, 2025","73,90,546"
"Jul 30, 2025","74,03,618"
"Jul 31, 2025","74,16,687"
"Aug 1, 2025","74,29,754"
"Aug 2, 2025","74,42,818"
"Aug 3, 2025","74,55,880"
"Aug 4, 2025","74,68,939"
"Aug 5, 2025","74,81,996"
"Aug 6, 2025","74,95,051"
"Aug 7, 2025","75,08,103"
"Aug 8, 2025","75,21,152"
"Aug 9, 2025","75,34,199"
"Aug 10, 2025","75,47,244"
"Aug 11, 2025","75,60,286"
"Aug 12, 2025","75,73,325"
"Aug 13, 2025","75,86,362"
"Aug 14, 2025","75,99,397"
"Aug 15, 2025","76,12,429"
"Aug 16, 2025","76,25,459"
"Aug 17, 2025","76,38,486"
"Aug 18, 2025","76,51,511"
"Aug 19, 2025","76,64,533"
"Aug 20, 2025","76,77,553"
"Aug 21, 2025","76,90,570"
"Aug 22, 2025","77,03,585"
"Aug 23, 2025","77,16,598"
"Aug 24, 2025","77,29,608"
"Aug 25, 2025","77,42,615"
"Aug 26, 2025","77,55,620"
"Aug 27, 2025","77,68,623"
"Aug 28, 2025","77,81,623"
"Aug 29, 2025","77,94,620"
"Aug 30, 2025","78,07,615"
"Aug 31, 2025","78,20,608"
"Sep 1, 2025","78,33,598"
"Sep 2, 2025","78,46,586"
"Sep 3, 2025","78,59,571"
"Sep 4, 2025","78,72,554"
"Sep 5, 2025","78,85,534"
"Sep 6, 2025","78,98,512"
"Sep 7, 2025","79,11,488"
"Sep 8, 2025","79,24,461"
"Sep 9, 2025","79,37,431"
"Sep 10, 2025","79,50,399"
"Sep 11, 2025","79,63,365"
"Sep 12, 2025","79,76,328"
"Sep 13, 2025","79,89,288"
"Sep 14, 2025","80,02,246"
"Sep 15, 2025","80,15,202"
"Sep 16, 2025","80,28,155"
"Sep 17, 2025","80,41,106"
"Sep 18, 2025","80,54,054"
"Sep 19, 2025","80,67,000"
"Sep 20, 2025","80,79,943"
"Sep 21, 2025","80,92,884"
"Sep 22, 2025","81,05,822"
"Sep 23, 2025","81,18,758"
"Sep 24, 2025","81,31,692"
"Sep 25, 2025","81,44,623"
"Sep 26, 2025","81,57,551"
"Sep 27, 2025","81,70,477"
"Sep 28, 2025","81,83,401"
"Sep 29, 2025","81,96,322"
"Sep 30, 2025","82,09,240"
"Oct 1, 2025","82,22,156"
"Oct 2, 2025","82,35,070"
"Oct 3, 2025","82,47,981"
"Oct 4, 2025","82,60,890"
"Oct 5, 2025","82,73,796"
"Oct 6, 2025","82,86,700"
"Oct 7, 2025","82,99,601"
"Oct 8, 2025","83,12,500"
"Oct 9, 2025","83,25,397"
"Oct 10, 2025","83,38,290"
"Oct 11, 2025","83,51,182"
"Oct 12, 2025","83,64,071"
"Oct 13, 2025","83,76,957"
"Oct 14, 2025","83,89,841"
"Oct 15, 2025","84,02,723"
"Oct 16, 2025","84,15,602"
"Oct 17, 2025","84,28,479"
"Oct 18, 2025","84,41,353"
"Oct 19, 2025","84,54,225"
"Oct 20, 2025","84,67,094"
"Oct 21, 2025","84,79,961"
"Oct 22, 2025","84,92,825"
"Oct 23, 2025","85,05,687"
"Oct 24, 2025","85,18,546"
"Oct 25, 2025","85,31,403"
"Oct 26, 2025","85,44,257"
"Oct 27, 2025","85,57,109"
"Oct 28, 2025","85,69,959"
"Oct 29, 2025","85,82,806"
"Oct 30, 2025","85,95,650"
"Oct 31, 2025","86,08,492"
"Nov 1, 2025","86,21,332"
"Nov 2, 2025","86,34,169"
"Nov 3, 2025","86,47,004"
"Nov 4, 2025","86,59,836"
"Nov 5, 2025","86,72,666"
"Nov 6, 2025","86,85,493"
"Nov 7, 2025","86,98,318"
"Nov 8, 2025","87,11,140"
"Nov 9, 2025","87,23,960"
"Nov 10, 2025","87,36,777"
"Nov 11, 2025","87,49,592"
"Nov 12, 2025","87,62,405"
"Nov 13, 2025","87,75,214"
"Nov 14, 2025","87,88,022"
"Nov 15, 2025","88,00,827"
"Nov 16, 2025","88,13,630"
"Nov 17, 2025","88,26,430"
"Nov 18, 2025","88,39,227"
"Nov 19, 2025","88,52,022"
"Nov 20, 2025","88,64,815"
"Nov 21, 2025","88,77,605"
"Nov 22, 2025","88,90,393"
"Nov 23, 2025","89,03,178"
"Nov 24, 2025","89,15,961"
"Nov 25, 2025","89,28,742"
"Nov 26, 2025","89,41,519"
"Nov 27, 2025","89,54,295"
"Nov 28, 2025","89,67,068"
"Nov 29, 2025","89,79,838"
"Nov 30, 2025","89,92,606"
"Dec 1, 2025","90,05,372"
"Dec 2, 2025","90,18,135"
"Dec 3, 2025","90,30,895"
"Dec 4, 2025","90,43,653"
"Dec 5, 2025","90,56,409"
"Dec 6, 2025","90,69,162"
"Dec 7, 2025","90,81,913"
"Dec 8, 2025","90,94,661"
"Dec 9, 2025","91,07,407"
"Dec 10, 2025","91,20,150"
"Dec 11, 2025","91,32,891"
"Dec 12, 2025","91,45,630"
"Dec 13, 2025","91,58,365"
"Dec 14, 2025","91,71,099"
"Dec 15, 2025","91,83,830"
"Dec 16, 2025","91,96,558"
"Dec 17, 2025","92,09,284"
"Dec 18, 2025","92,22,008"
"Dec 19, 2025","92,34,729"
"Dec 20, 2025","92,47,448"
"Dec 21, 2025","92,60,164"
"Dec 22, 2025","92,72,877"
"Dec 23, 2025","92,85,589"
"Dec 24, 2025","92,98,297"
"Dec 25, 2025","93,11,004"
"Dec 26, 2025","93,23,707"
"Dec 27, 2025","93,36,409"
"Dec 28, 2025","93,49,108"
"Dec 29, 2025","93,61,804"
"Dec 30, 2025","93,74,498"
"Dec 31, 2025","93,87,189"
"Jan 1, 2026","93,99,878"
"Jan 2, 2026","94,12,565"
"Jan 3, 2026","94,25,249"
"Jan 4, 2026","94,37,931"
"Jan 5, 2026","94,50,610"
"Jan 6, 2026","94,63,286"
"Jan 7, 2026","94,75,960"
"Jan 8, 2026","94,88,632"
"Jan 9, 2026","95,01,301"
"Jan 10, 2026","95,13,968"
"Jan 11, 2026","95,26,632"
"Jan 12, 2026","95,39,294"
"Jan 13, 2026","95,51,954"
"Jan 14, 2026","95,64,611"
"Jan 15, 2026","95,77,265"
"Jan 16, 2026","95,89,917"
"Jan 17, 2026","96,02,566"
"Jan 18, 2026","96,15,213"
"Jan 19, 2026","96,27,858"
"Jan 20, 2026","96,40,500"
"Jan 21, 2026","96,53,140"
"Jan 22, 2026","96,65,777"
"Jan 23, 2026","96,78,411"
"Jan 24, 2026","96,91,044"
"Jan 25, 2026","97,03,673"
"Jan 26, 2026","97,16,301"
"Jan 27, 2026","97,28,925"
"Jan 28, 2026","97,41,548"
"Jan 29, 2026","97,54,168"
"Jan 30, 2026","97,66,785"
"Jan 31, 2026","97,79,400"
"Feb 1, 2026","97,92,012"
"Feb 2, 2026","98,04,622"
"Feb 3, 2026","98,17,230"
"Feb 4, 2026","98,29,835"
"Feb 5, 2026","98,42,437"
"Feb 6, 2026","98,55,038"
"Feb 7, 2026","98,67,635"
"Feb 8, 2026","98,80,230"
"Feb 9, 2026","98,92,823"
"Feb 10, 2026","99,05,413"
"Feb 11, 2026","99,18,001"
"Feb 12, 2026","99,30,586"
"Feb 13, 2026","99,43,169"
"Feb 14, 2026","99,55,749"
"Feb 15, 2026","99,68,327"
"Feb 16, 2026","99,80,903"
"Feb 17, 2026","99,93,476"
"Feb 18, 2026","1,00,06,046"
"Feb 19, 2026","1,00,18,614"
"Feb 20, 2026","1,00,31,180"
"Feb 21, 2026","1,00,43,743"
"Feb 22, 2026","1,00,56,303"
"Feb 23, 2026","1,00,68,862"
"Feb 24, 2026","1,00,81,417"
"Feb 25, 2026","1,00,93,970"
"Feb 26, 2026","1,01,06,521"
"Feb 27, 2026","1,01,19,069"
"Feb 28, 2026","1,01,31,615"
"Mar 1, 2026","1,01,44,158"
